Alert Time: [2025-12-30 00:17:02], Logged Time: [2025-12-30 06:17:03] | Action: EXIT | Entry: 25730.75 | SL: 25736.7967170968 | TP: 25728.7344276344
Alert Time: [2025-12-30 00:18:00], Logged Time: [2025-12-30 06:18:01] | Action: SELL | Entry: 25729.3125 | SL: 25735.3750317983 | TP: 25727.2916560672
Alert Time: [2025-12-30 00:18:00], Logged Time: [2025-12-30 06:19:36] | Action: EXIT | Entry: 25729.3125 | SL: 25735.3750317983 | TP: 25727.2916560672
Alert Time: [2025-12-30 00:43:00], Logged Time: [2025-12-30 06:43:00] | Action: SELL | Entry: 25726.6875 | SL: 25732.4436255542 | TP: 25724.7687914819
Alert Time: [2025-12-30 00:43:00], Logged Time: [2025-12-30 06:43:01] | Action: EXIT | Entry: 25726.6875 | SL: 25732.4436255542 | TP: 25724.7687914819
Alert Time: [2025-12-30 00:44:00], Logged Time: [2025-12-30 06:44:00] | Action: SELL | Entry: 25725.5 | SL: 25731.0699781429 | TP: 25723.643340619
Alert Time: [2025-12-30 00:44:00], Logged Time: [2025-12-30 06:48:16] | Action: EXIT | Entry: 25725.5 | SL: 25731.0699781429 | TP: 25723.643340619
Alert Time: [2025-12-30 00:51:00], Logged Time: [2025-12-30 06:51:00] | Action: SELL | Entry: 25729.0625 | SL: 25733.8055097902 | TP: 25727.4814967366
Alert Time: [2025-12-30 00:51:00], Logged Time: [2025-12-30 06:55:11] | Action: EXIT | Entry: 25729.0625 | SL: 25733.8055097902 | TP: 25727.4814967366
Alert Time: [2025-12-30 00:56:00], Logged Time: [2025-12-30 06:56:00] | Action: SELL | Entry: 25728.1875 | SL: 25732.4470061062 | TP: 25726.7676646313
Alert Time: [2025-12-30 00:56:00], Logged Time: [2025-12-30 06:56:06] | Action: EXIT | Entry: 25728.1875 | SL: 25732.4470061062 | TP: 25726.7676646313
Alert Time: [2025-12-30 01:31:01], Logged Time: [2025-12-30 07:31:01] | Action: SELL | Entry: 25695.0 | SL: 25702.7163815619 | TP: 25692.4278728127
Alert Time: [2025-12-30 01:32:01], Logged Time: [2025-12-30 07:32:05] | Action: EXIT | Entry: 25694.4375 | SL: 25701.8973543075 | TP: 25691.9508818975
Alert Time: [2025-12-30 01:47:00], Logged Time: [2025-12-30 07:47:01] | Action: SELL | Entry: 25694.8125 | SL: 25700.9355313816 | TP: 25692.7714895395
Alert Time: [2025-12-30 01:47:00], Logged Time: [2025-12-30 07:47:51] | Action: EXIT | Entry: 25694.8125 | SL: 25700.9355313816 | TP: 25692.7714895395
Alert Time: [2025-12-30 01:48:02], Logged Time: [2025-12-30 07:48:02] | Action: SELL | Entry: 25693.9375 | SL: 25699.9981719972 | TP: 25691.9172760009
Alert Time: [2025-12-30 01:48:02], Logged Time: [2025-12-30 07:50:03] | Action: EXIT | Entry: 25693.9375 | SL: 25699.9981719972 | TP: 25691.9172760009
Alert Time: [2025-12-30 02:00:00], Logged Time: [2025-12-30 08:00:00] | Action: SELL | Entry: 25703.125 | SL: 25708.6865910912 | TP: 25701.2711363029
Alert Time: [2025-12-30 02:00:00], Logged Time: [2025-12-30 08:02:47] | Action: EXIT | Entry: 25703.125 | SL: 25708.6865910912 | TP: 25701.2711363029
Alert Time: [2025-12-30 02:15:00], Logged Time: [2025-12-30 08:15:00] | Action: SELL | Entry: 25725.0625 | SL: 25732.9316712443 | TP: 25722.4394429186
Alert Time: [2025-12-30 02:16:00], Logged Time: [2025-12-30 08:16:11] | Action: EXIT | Entry: 25725.25 | SL: 25732.8249447269 | TP: 25722.7250184244
Alert Time: [2025-12-30 02:41:00], Logged Time: [2025-12-30 08:41:00] | Action: SELL | Entry: 25729.1875 | SL: 25737.4356055205 | TP: 25726.4381314932
Alert Time: [2025-12-30 02:41:00], Logged Time: [2025-12-30 08:41:24] | Action: EXIT | Entry: 25729.1875 | SL: 25737.4356055205 | TP: 25726.4381314932
Alert Time: [2025-12-30 02:45:01], Logged Time: [2025-12-30 08:45:05] | Action: BUY | Entry: 25730.125 | SL: 25722.4229731598 | TP: 25732.6923422801
Alert Time: [2025-12-30 02:45:01], Logged Time: [2025-12-30 08:45:43] | Action: EXIT | Entry: 25730.125 | SL: 25722.4229731598 | TP: 25732.6923422801
Alert Time: [2025-12-30 03:06:00], Logged Time: [2025-12-30 09:06:00] | Action: BUY | Entry: 25744.0 | SL: 25736.0329762734 | TP: 25746.6556745755
